BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff	BitMask	0xffffffffffffffff
Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)	Unit	(None)
Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1	Unit ScaleFactor	1
Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0	Unit Offset	0

2450	1686	2450	27,2	2450	0	2450	1	2450	5329,9
2460	1687	2460	27	2460	0	2460	1	2460	5329,9
2470	1688	2470	47,6	2470	0	2470	1	2470	5329,9
2480	1689	2480	22,8	2480	0	2480	1	2480	5329,9
2490	1690	2490	34,8	2490	0	2490	1	2490	5329,9
2500	1691	2500	37,9	2500	0	2500	1	2500	5329,9
2510	1692	2510	26,8	2510	0	2510	1	2510	5329,9
2520	1693	2520	46,7	2520	0	2520	1	2520	5329,9
2530	1694	2530	30,2	2530	0	2530	1	2530	5329,9
2540	1695	2540	47,6	2540	0	2540	1	2540	5329,9
2550	1696	2550	41,6	2550	0	2550	1	2550	5329,9
2560	1697	2560	22,4	2560	0	2560	1	2560	5329,9
2570	1698	2570	39,3	2570	0	2570	1	2570	5329,9
2580	1699	2580	41,1	2580	0	2580	1	2580	5329,9
2590	1700	2590	27,5	2590	0	2590	3	2590	5329,9
2600	1701	2600	37	2600	0	2600	1	2600	5329,9
2610	1702	2610	44,3	2610	0	2610	1	2610	5329,9
2620	1703	2620	36,2	2620	0	2620	1	2620	5329,9
2630	1704	2630	39,2	2630	0	2630	1	2630	5329,9
2640	1705	2640	31,4	2640	0	2640	1	2640	5329,9
2650	1706	2650	19,8	2650	0	2650	1	2650	5329,9
2660	1707	2660	38,5	2660	0	2660	1	2660	5329,9
2670	1708	2670	36,1	2670	0	2670	1	2670	5329,9
2680	1709	2680	38,2	2680	0	2680	1	2680	5329,9
2690	1710	2690	39,6	2690	0	2690	1	2690	5329,9
2700	1711	2700	45	2700	0	2700	1	2700	5329,9
2710	1712	2710	26,9	2710	0	2710	1	2710	5329,9
2720	1713	2720	41,8	2720	0	2720	1	2720	5329,9
2730	1714	2730	34,1	2730	0	2730	1	2730	5329,9
2740	1715	2740	41,8	2740	0	2740	1	2740	5329,9
2750	1716	2750	45,3	2750	0	2750	1	2750	5329,9
2760	1717	2760	46,7	2760	0	2760	1	2760	5329,9
2770	1718	2770	47,6	2770	0	2770	1	2770	5329,9
2780	1719	2780	49,6	2780	0	2780	1	2780	5329,9
2790	1720	2790	37,9	2790	0	2790	1	2790	5329,9
2800	1721	2800	37,7	2800	0	2800	1	2800	5329,9
2810	1722	2810	41,2	2810	0	2810	1	2810	5329,9
2820	1723	2820	38,7	2820	0	2820	1	2820	5329,9
2830	1724	2830	35,3	2830	0	2830	1	2830	5329,9
2840	1725	2840	39,7	2840	0	2840	1	2840	5329,9
2850	1726	2850	35,3	2850	0	2850	1	2850	5329,9
2860	1727	2860	40,6	2860	0	2860	1	2860	5329,9
2870	1728	2870	39,5	2870	0	2870	1	2870	5329,9
2880	1729	2880	31,8	2880	0	2880	1	2880	5329,9
2890	1730	2890	36,1	2890	0	2890	1	2890	5329,9
2900	1731	2900	33,4	2900	0	2900	1	2900	5329,9
2910	1732	2910	50	2910	0	2910	1	2910	5329,9
2920	1733	2920	36,1	2920	0	2920	1	2920	5329,9
2930	1734	2930	53,6	2930	0	2930	1	2930	5329,9
2940	1735	2940	37,8	2940	0	2940	1	2940	5329,9
2950	1736	2950	56,3	2950	0	2950	1	2950	5329,9
2960	1737	2960	35,9	2960	0	2960	1	2960	5329,9
2970	1738	2970	36,2	2970	0	2970	1	2970	5329,9
2980	1739	2980	51,5	2980	0	2980	1	2980	5329,9
2990	1740	2990	50	2990	0	2990	1	2990	5329,9
3000	1741	3000	53,7	3000	0	3000	1	3000	5329,9
3010	1742	3010	46	3010	0	3010	1	3010	5329,9
3020	1743	3020	28,6	3020	0	3020	1	3020	5329,9
3030	1744	3030	50,6	3030	0	3030	1	3030	5329,9
3040	1745	3040	50,2	3040	0	3040	1	3040	5329,9
3050	1746	3050	32	3050	0	3050	1	3050	5329,9
3060	1747	3060	36,2	3060	0	3060	1	3060	5329,9
3070	1748	3070	30,5	3070	0	3070	1	3070	5329,9
